index,E,theta,E',x,Q2,sigma (ub),eps,W2,Gamma_v,stat,%stat_u,syst,%syst_u,rad1,%rad1_c,rad2,%rad2_c,y,y+,xq4/2/pi/a2/y+/hc2,det,sig_r
0,5.648,22.566,3.652,0.84302,3.1581,0.002307,0.847,1.468,0.0001554,4.17e-05,1.807542262678804,2.38e-05,1.031642826181188,1.3e-05,0.5635023840485478,2.32e-05,1.005635023840485,0.353399433427762,1.467548094656032,43975.73713817781,0.3606177295141382,0.03658539911846793
1,5.648,22.566,3.618,0.8212,3.1287,0.002046,0.844,1.562,0.0001764,3.57e-05,1.744868035190616,2.21e-05,1.080156402737048,1.7e-05,0.8308895405669598,1.8e-05,0.879765395894428,0.3594192634560907,1.459341000623544,42280.08369350668,0.380043859029361,0.03287571349760966
2,5.648,22.566,3.584,0.80011,3.0994,0.002025,0.841,1.655,0.0001964,3.47e-05,1.713580246913581,2.35e-05,1.160493827160494,8.57e-06,0.4232098765432099,6.06e-06,0.2992592592592593,0.3654390934844192,1.451206166932401,40652.9137003107,0.4003567713349728,0.03295823028069175
3,5.648,22.566,3.55,0.77969,3.07,0.002218,0.838,1.748,0.0002155,3.57e-05,1.60955816050496,2.63e-05,1.185752930568079,8.5e-06,0.3832281334535618,6.01e-06,0.2709648331830478,0.3714589235127479,1.443143703038805,39084.5372088256,0.4216094642229683,0.03654911513669067
4,5.648,22.566,3.516,0.75993,3.0406,0.00252,0.834,1.841,0.0002338,3.77e-05,1.496031746031746,2.97e-05,1.178571428571428,8.41e-06,0.3337301587301588,5.95e-06,0.2361111111111111,0.3774787535410765,1.435154806951777,37575.88859105163,0.4438333465339377,0.0420271296035292
5,5.648,22.566,3.482,0.74078,3.0112,0.002832,0.831,1.934,0.0002512,3.87e-05,1.366525423728814,3.3e-05,1.165254237288136,1.19e-05,0.4201977401129943,1.19e-05,0.4201977401129943,0.383498583569405,1.427237069628249,36123.36276009628,0.4670846785399067,0.04778339940826658
6,5.648,22.566,3.448,0.72223,2.9818,0.00326,0.827,2.027,0.0002677,4.07e-05,1.248466257668712,3.74e-05,1.147239263803681,1.34e-05,0.411042944785276,1.8e-05,0.5521472392638037,0.3895184135977337,1.419392855472207,34725.28091297812,0.4913999230360474,0.05562864119981878
7,5.648,22.566,3.414,0.70424,2.9525,0.003846,0.824,2.12,0.0002835,4.56e-05,1.185647425897036,4.29e-05,1.115444617784711,1.35e-05,0.3510140405616224,1.81e-05,0.4706188247529901,0.3955382436260623,1.41161894267237,33380.96300012872,0.5168376555626503,0.06635326367639924
8,5.648,22.566,3.38,0.68679,2.9231,0.005386,0.82,2.213,0.0002985,5.85e-05,1.086149275900483,5.9e-05,1.095432603044931,2.38e-05,0.4418863720757519,2.98e-05,0.5532862978091347,0.4015580736543909,1.403919155210033,32083.74432391058,0.5434474704343635,0.0939093787366887
9,5.648,22.566,3.346,0.66986,2.8937,0.005592,0.816,2.307,0.0003127,6.15e-05,1.099785407725322,6.26e-05,1.119456366237482,2.38e-05,0.4256080114449213,2.98e-05,0.5329041487839771,0.4075779036827195,1.396292458276311,30834.04479103281,0.571281975940963,0.09850271112077515
10,5.648,22.566,3.312,0.65341,2.8643,0.005073,0.812,2.4,0.0003262,5.56e-05,1.095998423023852,5.97e-05,1.176818450620934,1.71e-05,0.3370786516853932,1.82e-05,0.3587620737236349,0.4135977337110481,1.388736476708429,29629.12167308758,0.6004155317658377,0.09024757851920036
11,5.648,22.566,3.278,0.63744,2.835,0.005145,0.808,2.493,0.000339,5.56e-05,1.080660835762877,6.16e-05,1.197278911564626,1.34e-05,0.26044703595724,1.79e-05,0.347910592808552,0.4196175637393768,1.381252522416482,28470.04753585348,0.63089236118172,0.09241210021361537
12,5.648,22.566,3.244,0.62192,2.8056,0.005532,0.804,2.586,0.0003512,5.75e-05,1.03940708604483,6.63e-05,1.198481561822126,1.68e-05,0.3036876355748373,1.78e-05,0.32176428054953,0.4256373937677053,1.373842366731933,27350.48056122566,0.6627874542335151,0.1002816363800726
13,5.648,22.566,3.21,0.60684,2.7762,0.006029,0.8,2.679,0.0003627,6.05e-05,1.003483164703931,7.18e-05,1.190910598772599,1.32e-05,0.2189417813899486,1.78e-05,0.2952396749046277,0.431657223796034,1.366505708448911,26271.21064987237,0.6961609423838161,0.1102643253136172
14,5.648,22.566,3.176,0.59216,2.7468,0.006968,0.796,2.772,0.0003735,6.65e-05,0.9543628013777268,8.23e-05,1.181113662456946,1.68e-05,0.2411021814006888,2.37e-05,0.3401262916188289,0.4376770538243626,1.359239372706399,25229.75519751984,0.7311122985917339,0.1285302251094666
15,5.648,22.566,3.142,0.57789,2.7174,0.007985,0.791,2.865,0.0003838,7.24e-05,0.9067000626174074,9.35e-05,1.170945522855354,1.86e-05,0.2329367564182843,2.94e-05,0.3681903569192235,0.4436968838526912,1.35204723168272,24225.69782124588,0.7676882460557268,0.1485033010068983
16,5.648,22.566,2.828,0.46211,2.4456,0.009514,0.747,3.727,0.000454,9.62e-05,1.011141475719991,0.000119,1.25078831196132,6.94e-06,0.07294513348749213,9.81e-06,0.1031112045406769,0.4992917847025496,1.289013218886982,16457.91005814859,1.200271574864954,0.1879391908953006
17,5.648,22.566,2.801,0.45358,2.4228,0.009821,0.743,3.799,0.0004581,9.82e-05,0.9998981773750127,0.000123,1.252418287343448,6.46e-06,0.06577741574177783,9.14e-06,0.09306587923836677,0.5040722379603398,1.283911797723218,15917.31000421935,1.246452251172169,0.1948502790008068
18,5.648,22.566,2.775,0.44521,2.4001,0.01005,0.739,3.871,0.000462,9.92e-05,0.9870646766169154,0.000127,1.263681592039801,5.9e-06,0.05870646766169155,4.17e-06,0.04149253731343284,0.5086756373937676,1.279002242942897,15391.04528236263,1.293489514713365,0.2000769647168073
19,5.648,18.566,4.063,0.80287,2.3884,0.01071,0.901,1.467,0.0003521,0.000155,1.447245564892624,0.000108,1.008403361344538,7.79e-05,0.7273576097105507,0.00011,1.027077497665733,0.2806303116147309,1.554894180329365,22608.63564233183,0.2702666126397114,0.0654419488683202
20,5.648,22.566,2.749,0.43698,2.3773,0.01048,0.735,3.943,0.0004657,0.0001,0.9541984732824428,0.000132,1.259541984732825,3.78e-06,0.03606870229007634,3.78e-06,0.03606870229007634,0.5132790368271954,1.274134910984322,14877.5001450704,1.342354119174132,0.2092947553568095
21,5.648,18.566,4.025,0.77688,2.3662,0.009631,0.899,1.56,0.0003974,0.000138,1.432873014224899,0.000104,1.079846329560793,6.2e-05,0.6437545426227806,7.83e-05,0.8129996885058663,0.2873583569405098,1.544921043028449,21610.57836385442,0.2887047163369001,0.06008853995835303
22,5.648,22.566,2.723,0.42891,2.3546,0.01072,0.73,4.015,0.0004691,0.0001,0.9328358208955225,0.000131,1.222014925373134,2.97e-05,0.2770522388059701,1.48e-05,0.1380597014925373,0.5178824362606232,1.269310750077235,14379.65050107277,1.393051723225677,0.2147387188741536
23,5.648,18.566,3.987,0.75207,2.3439,0.008562,0.896,1.653,0.00044,0.000126,1.471618780658724,0.000101,1.179630927353422,3.93e-05,0.4590049053959355,3.68e-05,0.4298061200654053,0.2940864022662889,1.535039109605282,20660.11886241343,0.3081203030811037,0.05450399745672271
24,5.648,22.566,2.696,0.42098,2.3318,0.01044,0.726,4.088,0.0004724,0.000103,0.9865900383141761,0.000138,1.32183908045977,3.69e-05,0.353448275862069,1.85e-05,0.1772030651340996,0.5226628895184136,1.264385844959173,13895.69496670982,1.446738990623424,0.209879952333953
25,5.648,18.566,3.949,0.72837,2.3217,0.008467,0.893,1.746,0.0004801,0.000124,1.464509271288532,0.000102,1.204676981221212,3.42e-05,0.4039211054682886,3.02e-05,0.356678870910594,0.300814447592068,1.525246163331699,19757.87115171884,0.3285559828909361,0.05496409589311557
